 4 January 2011   4:58:29.709 PM
 
CORDIC_PRB:
  FORTRAN90 version
  Test the CORDIC library.
 
TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.
 
          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC
 
  ARCSIN_CORDIC computes the arcsine of T
  using the CORDIC algorithm.
 
          T        N      ArcSin(T)       ArcSin(T)         Difference
                          Tabulated        CORDIC
 
       -0.1000     0   -0.10016742         0.0000000       -0.1002E+00
       -0.1000     5   -0.10016742       -0.29671413E-01   -0.7050E-01
       -0.1000    10   -0.10016742       -0.10386764        0.3700E-02
       -0.1000    15   -0.10016742       -0.10008346       -0.8396E-04
       -0.1000    20   -0.10016742       -0.10017120        0.3778E-05
       -0.1000    25   -0.10016742       -0.10016750        0.8260E-07
 
        0.0000     0     0.0000000         0.0000000        0.0000E+00
        0.0000     5     0.0000000        0.29671413E-01   -0.2967E-01
        0.0000    10     0.0000000        0.23451806E-02   -0.2345E-02
        0.0000    15     0.0000000        0.25845392E-04   -0.2585E-04
        0.0000    20     0.0000000       -0.85748894E-06    0.8575E-06
        0.0000    25     0.0000000       -0.23023911E-07    0.2302E-07
 
        0.1000     0    0.10016742         0.0000000        0.1002E+00
        0.1000     5    0.10016742        0.29671413E-01    0.7050E-01
        0.1000    10    0.10016742        0.10386764       -0.3700E-02
        0.1000    15    0.10016742        0.10008346        0.8396E-04
        0.1000    20    0.10016742        0.10017120       -0.3778E-05
        0.1000    25    0.10016742        0.10016750       -0.8260E-07
 
        0.2000     0    0.20135792         0.0000000        0.2014E+00
        0.2000     5    0.20135792        0.27741615       -0.7606E-01
        0.2000    10    0.20135792        0.20321992       -0.1862E-02
        0.2000    15    0.20135792        0.20138887       -0.3095E-04
        0.2000    20    0.20135792        0.20135454        0.3382E-05
        0.2000    25    0.20135792        0.20135800       -0.7476E-07
 
        0.3000     0    0.30469265         0.0000000        0.3047E+00
        0.3000     5    0.30469265        0.27741615        0.2728E-01
        0.3000    10    0.30469265        0.30474238       -0.4973E-04
        0.3000    15    0.30469265        0.30462031        0.7234E-04
        0.3000    20    0.30469265        0.30469279       -0.1399E-06
        0.3000    25    0.30469265        0.30469267       -0.2068E-07
 
        0.4000     0    0.41151685         0.0000000        0.4115E+00
        0.4000     5    0.41151685        0.52709139       -0.1156E+00
        0.4000    10    0.41151685        0.41383337       -0.2317E-02
        0.4000    15    0.41151685        0.41151403        0.2811E-05
        0.4000    20    0.41151685        0.41151785       -0.1004E-05
        0.4000    25    0.41151685        0.41151678        0.6933E-07
 
        0.5000     0    0.52359878         0.0000000        0.5236E+00
        0.5000     5    0.52359878        0.52709139       -0.3493E-02
        0.5000    10    0.52359878        0.52320257        0.3962E-03
        0.5000    15    0.52359878        0.52356878        0.3000E-04
        0.5000    20    0.52359878        0.52359548        0.3293E-05
        0.5000    25    0.52359878        0.52359870        0.7424E-07
 
        0.6000     0    0.64350111         0.0000000        0.6435E+00
        0.6000     5    0.64350111        0.75991083       -0.1164E+00
        0.6000    10    0.64350111        0.64665280       -0.3152E-02
        0.6000    15    0.64350111        0.64360105       -0.9994E-04
        0.6000    20    0.64350111        0.64349805        0.3058E-05
        0.6000    25    0.64350111        0.64350103        0.7798E-07
 
        0.7000     0    0.77539750         0.0000000        0.7754E+00
        0.7000     5    0.77539750        0.75991083        0.1549E-01
        0.7000    10    0.77539750        0.77161214        0.3785E-02
        0.7000    15    0.77539750        0.77539632        0.1179E-05
        0.7000    20    0.77539750        0.77540013       -0.2635E-05
        0.7000    25    0.77539750        0.77539739        0.1065E-06
 
        0.8000     0    0.92729522         0.0000000        0.9273E+00
        0.8000     5    0.92729522         1.0095861       -0.8229E-01
        0.8000    10    0.92729522        0.92757741       -0.2822E-03
        0.8000    15    0.92729522        0.92721120        0.8402E-04
        0.8000    20    0.92729522        0.92729894       -0.3718E-05
        0.8000    25    0.92729522        0.92729524       -0.2288E-07
 
        0.9000     0     1.1197695         0.0000000        0.1120E+01
        0.9000     5     1.1197695         1.0095861        0.1102E+00
        0.9000    10     1.1197695         1.1228441       -0.3075E-02
        0.9000    15     1.1197695         1.1197923       -0.2282E-04
        0.9000    20     1.1197695         1.1197733       -0.3742E-05
        0.9000    25     1.1197695         1.1197696       -0.4632E-07
 
        1.0000     0     1.5707963         0.0000000        0.1571E+01
        1.0000     5     1.5707963         1.6345866       -0.6379E-01
        1.0000    10     1.5707963         1.5682029        0.2593E-02
        1.0000    15     1.5707963         1.5707663        0.2998E-04
        1.0000    20     1.5707963         1.5707931        0.3275E-05
        1.0000    25     1.5707963         1.5707963        0.5662E-07
 
TEST006:
  TAN_CORDIC computes the tangent of THETA
  using the CORDIC algorithm.
 
      THETA        N     Tan(THETA)      Tan(THETA)         Difference
                          Tabulated        CORDIC
 
        0.0000     0     0.0000000         0.0000000        0.0000E+00
        0.0000     5     0.0000000        0.14836795E-01   -0.1484E-01
        0.0000    10     0.0000000        0.11725909E-02   -0.1173E-02
        0.0000    15     0.0000000        0.12922696E-04   -0.1292E-04
        0.0000    20     0.0000000       -0.42874447E-06    0.4287E-06
        0.0000    25     0.0000000       -0.11511956E-07    0.1151E-07
 
        0.2618     0    0.26794919         0.0000000        0.2679E+00
        0.2618     5    0.26794919        0.26982176       -0.1873E-02
        0.2618    10    0.26794919        0.26773688        0.2123E-03
        0.2618    15    0.26794919        0.26793312        0.1607E-04
        0.2618    20    0.26794919        0.26794743        0.1765E-05
        0.2618    25    0.26794919        0.26794915        0.3978E-07
 
        0.5000     0    0.54630249         0.0000000        0.5463E+00
        0.5000     5    0.54630249        0.55254237       -0.6240E-02
        0.5000    10    0.54630249        0.54493002        0.1372E-02
        0.5000    15    0.54630249        0.54627649        0.2600E-04
        0.5000    20    0.54630249        0.54630373       -0.1240E-05
        0.5000    25    0.54630249        0.54630241        0.7569E-07
 
        0.5236     0    0.57735027         0.0000000        0.5774E+00
        0.5236     5    0.57735027        0.55254237        0.2481E-01
        0.5236    10    0.57735027        0.57570258        0.1648E-02
        0.5236    15    0.57735027        0.57741039       -0.6012E-04
        0.5236    20    0.57735027        0.57735190       -0.1626E-05
        0.5236    25    0.57735027        0.57735023        0.4291E-07
 
        0.7854     0     1.0000000         0.0000000        0.1000E+01
        0.7854     5     1.0000000         1.0659150       -0.6592E-01
        0.7854    10     1.0000000        0.99740990        0.2590E-02
        0.7854    15     1.0000000        0.99997002        0.2998E-04
        0.7854    20     1.0000000        0.99999672        0.3275E-05
        0.7854    25     1.0000000        0.99999994        0.5662E-07
 
        1.0000     0     1.5574077         0.0000000        0.1557E+01
        1.0000     5     1.5574077         1.3753784        0.1820E+00
        1.0000    10     1.5574077         1.5531680        0.4240E-02
        1.0000    15     1.5574077         1.5575505       -0.1428E-03
        1.0000    20     1.5574077         1.5574133       -0.5546E-05
        1.0000    25     1.5574077         1.5574078       -0.3335E-07
 
        1.0472     0     1.7320508         0.0000000        0.1732E+01
        1.0472     5     1.7320508         1.8098160       -0.7777E-01
        1.0472    10     1.7320508         1.7370080       -0.4957E-02
        1.0472    15     1.7320508         1.7318705        0.1803E-03
        1.0472    20     1.7320508         1.7320459        0.4878E-05
        1.0472    25     1.7320508         1.7320509       -0.1287E-06
 
        1.3090     0     3.7320508         0.0000000        0.3732E+01
        1.3090     5     3.7320508         3.7061503        0.2590E-01
        1.3090    10     3.7320508         3.7350103       -0.2960E-02
        1.3090    15     3.7320508         3.7322747       -0.2239E-03
        1.3090    20     3.7320508         3.7320754       -0.2458E-04
        1.3090    25     3.7320508         3.7320514       -0.5541E-06
 
        1.4399     0     7.5957541         0.0000000        0.7596E+01
        1.4399     5     7.5957541         7.1630901        0.4327E+00
        1.4399    10     7.5957541         7.7118399       -0.1161E+00
        1.4399    15     7.5957541         7.5990660       -0.3312E-02
        1.4399    20     7.5957541         7.5958179       -0.6379E-04
        1.4399    25     7.5957541         7.5957514        0.2679E-05
 
        1.5053     0     15.257052         0.0000000        0.1526E+02
        1.5053     5     15.257052         67.400000       -0.5214E+02
        1.5053    10     15.257052         15.689139       -0.4321E+00
        1.5053    15     15.257052         15.263500       -0.6448E-02
        1.5053    20     15.257052         15.256809        0.2430E-03
        1.5053    25     15.257052         15.257046        0.6162E-05
 
        2.0000     0    -2.1850399         0.0000000       -0.2185E+01
        2.0000     5    -2.1850399        -2.5040000        0.3190E+00
        2.0000    10    -2.1850399        -2.1875351        0.2495E-02
