January 11 2011   8:08:31.210 AM
 
TOMS757_PRB:
  FORTRAN90 version
  Test the TOMS757 library.
 
TEST01
  Testing function ABRAM0
 
     Argument             Abs. error             Rel. error
     0.0156250000      0.22204D-15            0.22426D-15
     0.1250000000      0.22204D-15            0.24026D-15
     0.5000000000      0.11102D-15            0.15080D-15
     1.0000000000      0.11102D-15            0.19974D-15
     2.0000000000      0.00000D+00            0.00000D+00
     4.0000000000      0.27756D-16            0.16244D-15
     8.0000000000      0.41633D-16            0.51348D-15
    12.0000000000      0.27756D-16            0.51929D-15
    16.0000000000      0.13878D-16            0.34738D-15
    16.2500000000      0.00000D+00            0.00000D+00
    17.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.69389D-17            0.21744D-15
    25.0000000000      0.34694D-17            0.13602D-15
    30.0000000000      0.34694D-17            0.16331D-15
    40.0000000000      0.69389D-17            0.43571D-15
    50.0000000000      0.17347D-17            0.13619D-15
    75.0000000000      0.34694D-17            0.40866D-15
   100.0000000000      0.17347D-17            0.27246D-15
   125.0000000000      0.00000D+00            0.00000D+00
 
TEST21
  Testing function I1ML1
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.10842D-18            0.11111D-15
     0.0156250000      0.86736D-18            0.11176D-15
     0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.27756D-16            0.13609D-15
     1.0000000000      0.55511D-16            0.16404D-15
     2.0000000000      0.00000D+00            0.00000D+00
     4.0000000000      0.11102D-15            0.18811D-15
     8.0000000000      0.22204D-15            0.35468D-15
    12.0000000000      0.22204D-15            0.35128D-15
    16.0000000000      0.22204D-15            0.35017D-15
    16.2500000000      0.00000D+00            0.00000D+00
    17.0000000000      0.11102D-15            0.17501D-15
    20.0000000000      0.11102D-15            0.17483D-15
    25.0000000000      0.11102D-15            0.17467D-15
    30.0000000000      0.11102D-15            0.17459D-15
    40.0000000000      0.11102D-15            0.17450D-15
    50.0000000000      0.11102D-15            0.17446D-15
    75.0000000000      0.00000D+00            0.00000D+00
   100.0000000000      0.00000D+00            0.00000D+00
   125.0000000000      0.11102D-15            0.17440D-15
 
TEST22
  Testing function LOBACHEVSKY
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.20680D-24            0.16653D-15
     0.0078125000      0.13235D-22            0.16653D-15
     0.0312500000      0.00000D+00            0.00000D+00
     0.1250000000      0.00000D+00            0.00000D+00
     0.5000000000      0.00000D+00            0.00000D+00
     1.0000000000      0.83267D-16            0.44400D-15
     1.5000000000      0.00000D+00            0.00000D+00
     2.0000000000      0.00000D+00            0.00000D+00
     2.5000000000      0.00000D+00            0.00000D+00
     3.0000000000      0.00000D+00            0.00000D+00
     4.0000000000      0.00000D+00            0.00000D+00
     5.0000000000      0.00000D+00            0.00000D+00
     6.0000000000      0.88818D-15            0.20412D-15
     7.0000000000      0.00000D+00            0.00000D+00
    10.0000000000      0.00000D+00            0.00000D+00
    15.0000000000      0.00000D+00            0.00000D+00
    20.0000000000      0.00000D+00            0.00000D+00
    30.0000000000      0.00000D+00            0.00000D+00
