 
FEM2D_LEASTSQUARES
  FORTRAN90 version
 
  Seek U(x,y), the solution of the least squares equation:
 
  Minimize L2 norm of U(x,y) - W(x,y), for W(x,y) given,
  with U(x,y) a piecewise linear function in the interior,
  and matching W(x,y) on the boundary.
 
  Reformulate this in terms of a finite element problem:
 
  ( U(x,y) - W(x,y), V(x,y) ) = 0 inside the region,
    U(x,y)                    = W(x,y) on the boundary
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U(x,y)           W(x,y)
   244     6    15        0.31        0.88    0.631247        0.630690    
   245     7    15        0.38        0.88    0.729819        0.728553    
   246     8    15        0.44        0.88    0.814754        0.812830    
   247     9    15        0.50        0.88    0.885192        0.882683    
   248    10    15        0.56        0.88    0.940828        0.937830    
   249    11    15        0.63        0.88    0.981923        0.978553    
   250    12    15        0.69        0.88     1.00931         1.00569    
   251    13    15        0.75        0.88     1.02431         1.02060    
   252    14    15        0.81        0.88     1.02883         1.02511    
   253    15    15        0.88        0.88     1.02477         1.02145    
   254    16    15        0.94        0.88     1.01604         1.01216    
   255    17    15        1.00        0.88     1.00000         1.00000    
 
   256     1    16        0.00        0.94     0.00000         0.00000    
   257     2    16        0.06        0.94    0.962937E-01    0.100560    
   258     3    16        0.13        0.94    0.196453        0.199658    
   259     4    16        0.19        0.94    0.293190        0.295886    
   260     5    16        0.25        0.94    0.385935        0.387950    
   261     6    16        0.31        0.94    0.473452        0.474712    
   262     7    16        0.38        0.94    0.554784        0.555240    
   263     8    16        0.44        0.94    0.629206        0.628842    
   264     9    16        0.50        0.94    0.696262        0.695090    
   265    10    16        0.56        0.94    0.755775        0.753842    
   266    11    16        0.63        0.94    0.807860        0.805240    
   267    12    16        0.69        0.94    0.852924        0.849712    
   268    13    16        0.75        0.94    0.891603        0.887950    
   269    14    16        0.81        0.94    0.924951        0.920886    
   270    15    16        0.88        0.94    0.953545        0.949658    
   271    16    16        0.94        0.94    0.980790        0.975560    
   272    17    16        1.00        0.94     1.00000         1.00000    
 
   273     1    17        0.00        1.00     0.00000         0.00000    
   274     2    17        0.06        1.00    0.625000E-01    0.625000E-01
   275     3    17        0.13        1.00    0.125000        0.125000    
   276     4    17        0.19        1.00    0.187500        0.187500    
   277     5    17        0.25        1.00    0.250000        0.250000    
   278     6    17        0.31        1.00    0.312500        0.312500    
   279     7    17        0.38        1.00    0.375000        0.375000    
   280     8    17        0.44        1.00    0.437500        0.437500    
   281     9    17        0.50        1.00    0.500000        0.500000    
   282    10    17        0.56        1.00    0.562500        0.562500    
   283    11    17        0.63        1.00    0.625000        0.625000    
   284    12    17        0.69        1.00    0.687500        0.687500    
   285    13    17        0.75        1.00    0.750000        0.750000    
   286    14    17        0.81        1.00    0.812500        0.812500    
   287    15    17        0.88        1.00    0.875000        0.875000    
   288    16    17        0.94        1.00    0.937500        0.937500    
   289    17    17        1.00        1.00     1.00000         1.00000    
 
 
  ||U||   =   0.996235    
  ||W||   =   0.994293    
  ||U-W|| =   0.623472E-01
 
FEM2D_LEASTSQUARES:
  Normal end of execution.
