 
FEM2D_POISSON_LINEAR
  FORTRAN90 version
 
  Solution of the Poisson equation:
 
  - Uxx - Uyy = F(x,y) inside the region,
       U(x,y) = G(x,y) on the boundary of the region.
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U               U               Error
                                                 exact           computed 
 
   241     3    15        0.13        0.88    0.271447        0.271437        0.958713E-05
   242     4    15        0.19        0.88    0.400108        0.399933        0.174117E-03
   243     5    15        0.25        0.88    0.520598        0.520212        0.386542E-03
   244     6    15        0.31        0.88    0.630690        0.630071        0.618319E-03
   245     7    15        0.38        0.88    0.728553        0.727706        0.847460E-03
   246     8    15        0.44        0.88    0.812830        0.811774        0.105626E-02
   247     9    15        0.50        0.88    0.882683        0.881453        0.123006E-02
   248    10    15        0.56        0.88    0.937830        0.936474        0.135660E-02
   249    11    15        0.63        0.88    0.978553        0.977128        0.142540E-02
   250    12    15        0.69        0.88     1.00569         1.00426        0.142720E-02
   251    13    15        0.75        0.88     1.02060         1.01925        0.135303E-02
   252    14    15        0.81        0.88     1.02511         1.02391        0.119266E-02
   253    15    15        0.88        0.88     1.02145         1.02051        0.931863E-03
   254    16    15        0.94        0.88     1.01216         1.01161        0.547596E-03
   255    17    15        1.00        0.88     1.00000         1.00000         0.00000    
 
   256     1    16        0.00        0.94     0.00000         0.00000         0.00000    
   257     2    16        0.06        0.94    0.100560        0.100651        0.908563E-04
   258     3    16        0.13        0.94    0.199658        0.199725        0.676484E-04
   259     4    16        0.19        0.94    0.295886        0.295870        0.159809E-04
   260     5    16        0.25        0.94    0.387950        0.387818        0.132048E-03
   261     6    16        0.31        0.94    0.474712        0.474449        0.262838E-03
   262     7    16        0.38        0.94    0.555240        0.554844        0.395463E-03
   263     8    16        0.44        0.94    0.628842        0.628322        0.519706E-03
   264     9    16        0.50        0.94    0.695090        0.694463        0.627081E-03
   265    10    16        0.56        0.94    0.753842        0.753131        0.710359E-03
   266    11    16        0.63        0.94    0.805240        0.804477        0.763232E-03
   267    12    16        0.69        0.94    0.849712        0.848932        0.779960E-03
   268    13    16        0.75        0.94    0.887950        0.887195        0.754779E-03
   269    14    16        0.81        0.94    0.920886        0.920206        0.680795E-03
   270    15    16        0.88        0.94    0.949658        0.949110        0.547596E-03
   271    16    16        0.94        0.94    0.975560        0.975225        0.335531E-03
   272    17    16        1.00        0.94     1.00000         1.00000         0.00000    
 
   273     1    17        0.00        1.00     0.00000         0.00000         0.00000    
   274     2    17        0.06        1.00    0.625000E-01    0.625000E-01     0.00000    
   275     3    17        0.13        1.00    0.125000        0.125000         0.00000    
   276     4    17        0.19        1.00    0.187500        0.187500         0.00000    
   277     5    17        0.25        1.00    0.250000        0.250000         0.00000    
   278     6    17        0.31        1.00    0.312500        0.312500         0.00000    
   279     7    17        0.38        1.00    0.375000        0.375000         0.00000    
   280     8    17        0.44        1.00    0.437500        0.437500         0.00000    
   281     9    17        0.50        1.00    0.500000        0.500000         0.00000    
   282    10    17        0.56        1.00    0.562500        0.562500         0.00000    
   283    11    17        0.63        1.00    0.625000        0.625000         0.00000    
   284    12    17        0.69        1.00    0.687500        0.687500         0.00000    
   285    13    17        0.75        1.00    0.750000        0.750000         0.00000    
   286    14    17        0.81        1.00    0.812500        0.812500         0.00000    
   287    15    17        0.88        1.00    0.875000        0.875000         0.00000    
   288    16    17        0.94        1.00    0.937500        0.937500         0.00000    
   289    17    17        1.00        1.00     1.00000         1.00000         0.00000    
 
 
FEM2D_POISSON_LINEAR:
  Normal end of execution.
